"id","label","mots_clefs","type","catégorie","prix_achat","date_acquisition","donateur","date_modif","édition","nom","interne","année","statut","tampon","état_général","qualité_photo","rareté","interêt","pivée","note_admin","note_visiteur","pos_x","pos_y","angle_photo","pos_x_photo","pos_y_photo","adresse_nom","adresse_1","adresse_2","adresse_ville","adresse_pays","valeur","précédent","suivant","pays","région","fleuve","pk","rive","sens","description","remarques","message"
"17","La Seine à travers Paris - Le Louvre. Vue prise du pont neuf","Paris, Louvre, Passage de la Monnaie, Pont des Arts","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"18","La Seine à travers Paris - Vue de la Seine au Louvre","Paris, Louvre, Remorqueur Guêpe N° 15, Pont des Saints-Pères","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"19","Paris - Quai des Orfèvres","Paris, Pont, Remorqueur Guêpe","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France","Bassin de la Seine",,"0","Inconnu","Inconnu",,,
"20","Paris - L'institut et le Pont des Arts","Paris, Bateau mouche, Pont des Arts, Institut","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"21","La Seine à travers Paris - Le Pont de l'estacade","Paris, Péniche, Grue, Pont","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"22","Paris - La Seine et le quai de l'Hôtel de ville","Paris, Bateau mouche, Pont, Hotel de Ville","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"23","Paris Hôtel des monnaies","Paris, Hotel des Monnaies","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"24","Paris Panorama de la Seine et du Louvre","Paris, Pont, Louvre, Bains, Toueur, Deligny","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"25","Paris 4 la Seine au pont des Saints-Pères","Paris, Bateau mouche, Péniche, Grue, Pont, Remorqueur Pierrot","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"26","107 Paris le Pont-Neuf","Paris, Bateau mouche, Pont","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"27","Corbeil Les Magasins du grand Moulin et la Seine","Paris, Péniche, Grand Moulin","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"28","Paris - Pont de Grenelles et statue de la Liberté","Paris, Péniche, Grue, Pont de Grenelles, Statue de la Liberté","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"29","21 - Paris - La Seine et la pointe de la Cité","Paris, Bateau mouche, Péniche, Grue, Pont, Notre-Dame, Port de la Tournelle","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"30","Paris - La grande Crue de la Seine - Un anneau du tube Berlier","Paris, tube Berlier, Crue (Inondations) 1910","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"31","Paris - Ile Saint-Louis - Le Quai d'Orléans et Notre-Dame","Paris, Bateau mouche, Pont, Notre-Dame, Remorqueur, Bains","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"32","Paris - La Seine, vue prise du pont des Saints-Pères","Paris, Bateau mouche, Pont des Arts, Bateau à vapeur","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"33","Paris - Nouveau viaduc du métropolitain à Passy","Paris, Pont, Metro","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"34","3066 - Paris - La Seine (station du Port-Royal)","Paris, Bateau mouche, Remorqueur, Pont des Saints-Pères","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"35","4277 - Paris - Pont des Saints-Pères et Port Saint-Nicolas (Ce pont fut construit en 1834)","Paris, Pont des Saints-Pères, Bateau à vapeur, Cargo Saint-Nicolas, Port Saint-Nicolas","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"36","Paris - Place de la Concorde","Paris, Bateau mouche, Pont de la Concorde, Place de la Concorde","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"37","283 - Paris - La Seine et le pont de Tournelles","Paris, Bateau mouche, Péniche, Notre-Dame, Remorqueur, Bains, Pont de Tournelles","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"38","175 Paris - Place de la Concorde","Paris, Bateau mouche, Pont de la Concorde, Place de la Concorde","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"39","5 Alfortville - Pont du chemin de fer","Paris, Bateau mouche, Pont du chemin de fer, Chevaux","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"40","900 Paris - Traveaux du métro","Paris, Grue, Pont, Conciergerie, Metro","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"41","635 Paris - Traveaux du métro - Fonçage du caisson central dans le grand bras de la Seine","Paris, Péniche, Grue, Pont, Conciergerie, Metro","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"42","900 bis Paris - Traveaux du métro","Paris, Péniche, Grue, Pont, Conciergerie, Metro","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"43","Paris - L'Accident du pont de l'archevéché","Paris, Grue, Pont, accident, Barque et Canot à la rame, Accident du pont de l'archevéché","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"44","Paris - L'Accident du pont de l'archevéché","Paris, Grue, Pont, accident, Barque et Canot à la rame, Accident du pont de l'archevéché","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"45","Paris - L'Accident du pont de l'archevéché","Paris, Grue, accident, Barque et Canot à la rame, Accident du pont de l'archevéché","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"46","Charenton 19 - Bords de la Marne - L'embarcadaire et le Garage","Paris, Bateau mouche, Pont","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"47","112 Charenton - Pont National - Octroi de Paris-Bercy","Paris, Pont, Usine, Octroi","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"48","Paris - Départ des bateaux pour Auteuil","Paris, Bateau mouche, Pont, Pêcheur","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"49","6 Le Pecq - Le Pont","Pont, Le Pecq","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"50","355 Le Pecq - Le Pont","Pont, Le Pecq, Attelage, Ascenseur, Le Spa français, la Terrasse Saint-Germain-en-Laye - L'Ascenseur","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"51","Le Pecq - Piscine","Pont, Le Pecq, Piscine","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"52","Port-Marly - Pointe de l'ile de la Loge","Le Port-Marly, Voile, Lavoir","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"53","Le Pecq - L'île Corbière et le pont du chemin de fer","Pont, Le Pecq, ile Corbière","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"54","28 Le Pecq près de Saint-germain-en-laye - L'île Corbière et le pont du chemin de fer","Pont, Le Pecq, Lavoir, ile Corbière, Chemin de Fer, Saint-Germain-en-Laye","CPA","BEF","0","2021-11-14 08:12:54","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"55","4 Saint-Germain-en-laye Le Pecq Ile Corbière et le Viaduc","Péniche, Pont, Le Pecq, Lavoir, ile Corbière, Dirigeable, Saint-Germain-en-Laye, Bateau Touriste","CPA","BEF","0","2021-11-14 08:12:55","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"56","35 Saint-Germain-en-laye Le Pecq - Bords de Seine et le Pont","Péniche, Pont, Toueur, Barque et Canot à la rame, Le Pecq, ile Corbière, Voilier, Saint-Germain-en-Laye","CPA","BEF","0","2021-11-14 08:12:55","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"57","Vue du Pont - Saint-germain-en-laye","Péniche, Pont, Remorqueur, Le Pecq, Le Spa français, Saint-Germain-en-Laye, Pavillon Henri IV","CPA","BEF","0","2021-11-14 08:12:55","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"58","46 Sain-Germain - Panorama vue de la Terrasse","Pont, Terrasse, ile Corbière, Viaduc, Saint-Germain-en-Laye, la Terrasse Saint-Germain-en-Laye - L'Ascenseur","CPA","BEF","0","2021-11-14 08:12:55","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"59","33 Saint-germain-en-laye le Pecq Perspective du Pont","Pont, Le Pecq, Attelage, Saint-Germain-en-Laye, Pavillon Henri IV","CPA","BEF","0","2021-11-14 08:12:55","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"60","63 Saint-germain-en-laye Panorama pris de la terrasse","Péniche, Pont, Avion, Saint-Germain-en-Laye, la Terrasse Saint-Germain-en-Laye - L'Ascenseur, Le Vésinet","CPA","BEF","0","2021-11-14 08:12:55","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"61","17 L'Ascenseur de la terrrase de Saint-Germain, Station inférieur du Pecq","Le Pecq, Ascenseur, Grotte, Cycliste, Saint-Germain-en-Laye","CPA","BEF","0","2021-11-14 08:12:55","Samathey","2024-02-15 17:38:04",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
"62","94 Saint-Germain Le sommet de l'ascenseur et Pavillon Henry IV","Ascenseur, Avion, Saint-Germain-en-Laye, Pavillon Henri IV","CPA","BEF","0","2021-11-14 08:12:55","Samathey","2023-11-08 08:28:24",,,,,"Écrite","Oui","Correct","Bonne","Commune","Moyen","Non","3","0","0","0","0","0","0",,,,,"France","0",,,"France",,,"0","Inconnu","Inconnu",,,
